"SANDY RECTORY",,,,,,,,,,,,
Grid ref,TL174490,Long,-0.286441,Lat,52.126850,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.05,1.03,2.93,0.93,1.35,0.72,,
February,,,,,2.88,0.96,1.66,0.94,1.01,0.39,,
March,,,,,1.33,2.46,1.88,1.03,2.70,2.72,,
April,,,,,1.00,1.77,0.69,2.84,3.02,1.10,,
May,,,,,1.64,1.25,1.53,4.14,1.52,1.22,,
June,,,,,0.67,3.85,3.09,2.18,1.11,4.54,,
July,,,,,2.70,0.85,0.64,2.24,2.77,3.28,,
August,,,,,2.03,3.02,1.14,2.52,3.03,2.04,,
September,,,,,1.70,1.84,0.91,0.70,1.39,2.11,,
October,,,,,1.28,1.21,3.64,4.01,1.55,3.86,,
November,,,,,1.38,1.85,4.55,2.48,0.85,0.59,,
December,,,,,1.79,0.85,2.26,3.30,1.52,2.92,,
Total,,,,,20.45,20.94,24.92,27.31,21.82,25.49,,
Calc annual,0.00,0.00,0.00,0.00,20.45,20.94,24.92,27.31,21.82,25.49,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,,
