"BELFAST ANTRIM ROAD",,,,,,,,,,,,
Grid ref,IJ2830884158,Long,-6.010783,Lat,54.689293,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.63,2.82,1.85,5.61,3.24,2.08,4.15,1.74,,,,
February,3.02,1.60,1.86,2.64,4.16,2.49,2.35,1.34,,,,
March,0.64,2.90,2.20,4.31,1.89,4.46,2.23,4.61,,,,
April,3.05,2.96,2.74,1.36,2.72,2.64,2.15,2.23,,,,
May,3.05,1.53,3.09,2.65,3.06,2.17,4.43,4.34,,,,
June,3.41,3.53,2.80,1.83,1.10,3.55,1.37,5.10,,,,
July,3.84,1.00,3.76,4.48,3.78,1.73,2.18,2.09,,,,
August,4.93,3.85,3.03,5.87,5.62,6.78,5.32,3.55,,,,
September,2.48,3.20,5.41,3.62,3.87,1.66,1.08,1.32,,,,
October,4.92,4.52,2.04,6.85,1.25,1.58,4.33,3.75,,,,
November,5.30,3.90,3.94,2.57,3.38,4.06,3.07,2.89,,,,
December,3.86,4.32,4.29,2.84,3.18,2.43,3.14,3.49,,,,
Total,42.13,36.13,37.01,44.63,37.25,35.63,35.80,36.45,,,,
Calc annual,42.13,36.13,37.01,44.63,37.25,35.63,35.80,36.45,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
