"BIRMINGHAM W.W. (ESGAIR GARTHEN)",,,,,,,,,,,,
Grid ref,SN842643,Long,-3.698260,Lat,52.264631,,,,,,,
Station no,4218,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.10,4.70,,
February,,,,,,,,,5.45,2.00,,
March,,,,,,,,,4.85,5.40,,
April,,,,,,,,,3.43,5.70,,
May,,,,,,,,,4.62,2.80,,
June,,,,,,,,,3.00,3.00,,
July,,,,,,,,,7.55,8.35,,
August,,,,,,,,,8.00,4.30,,
September,,,,,,,,,5.70,6.50,,
October,,,,,,,,,2.80,11.35,,
November,,,,,,,,,6.50,2.55,,
December,,,,,,,,,6.60,8.70,,
Total,,,,,,,,,62.60,65.35,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.60,65.35,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
