"BOLTBY",,,,,,,,,,,,
Grid ref,SE491866,Long,-1.247529,Lat,54.272701,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.23,0.90,,,,,,,,,,
February,3.93,2.28,,,,,,,,,,
March,1.12,1.66,,,,,,,,,,
April,0.67,1.51,,,,,,,,,,
May,0.61,1.02,,,,,,,,,,
June,2.63,1.38,,,,,,,,,,
July,0.69,1.19,,,,,,,,,,
August,5.31,1.44,,,,,,,,,,
September,0.44,0.87,,,,,,,,,,
October,3.58,1.73,,,,,,,,,,
November,2.06,3.44,,,,,,,,,,
December,1.29,3.28,,,,,,,,,,
Total,24.56,20.70,,,,,,,,,,
Calc annual,24.56,20.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
