"KENDAL POTTER FELL",,,,,,,,,,,,
Grid ref,SD494996,Long,-2.780715,Lat,54.389355,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,9.56,6.94,3.32,10.45,1.99,8.66,6.01,,
February,,,,10.04,5.55,4.88,3.32,4.92,3.48,2.87,,
March,,,,8.32,4.59,4.56,4.59,6.11,5.07,5.26,,
April,,,,1.84,6.17,6.25,2.23,2.69,2.70,4.82,,
May,,,,3.69,3.79,2.77,8.61,5.81,6.01,3.50,,
June,,,,3.00,4.23,3.68,3.53,10.52,3.49,3.41,,
July,,,,5.81,3.65,2.15,3.24,3.36,6.06,8.48,,
August,,,,10.38,5.87,5.67,8.06,6.69,5.39,4.57,,
September,,,,7.91,4.10,4.55,2.14,0.83,8.38,4.66,,
October,,,,13.01,5.81,4.14,8.65,6.93,3.38,11.01,,
November,,,,4.75,4.32,8.33,6.90,4.75,6.26,3.75,,
December,,,,8.61,7.79,5.18,5.22,9.48,5.21,10.29,,
Total,,,,86.92,62.81,55.48,66.94,64.08,64.09,68.63,,
Calc annual,0.00,0.00,0.00,86.92,62.81,55.48,66.94,64.08,64.09,68.63,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
