"FALKIRK BURGH BUILDINGS",,,,,,,,,,,,
Grid ref,NS887800,Long,-3.786208,Lat,55.999990,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,6.60,2.55,1.31,4.56,1.84,4.14,4.41,,
February,,,,6.06,3.17,1.74,2.21,2.66,1.93,1.61,,
March,,,,6.53,1.91,3.34,3.84,4.57,4.01,2.97,,
April,,,,0.95,3.83,2.24,1.18,1.72,1.31,2.99,,
May,,,,1.66,2.57,1.37,4.34,4.11,3.17,3.08,,
June,,,,1.68,1.54,0.59,1.55,4.36,1.68,1.45,,
July,,,,3.92,2.41,1.75,1.62,2.27,3.40,2.34,,
August,,,,4.06,3.82,2.82,5.60,4.46,2.87,3.03,,
September,,,,2.87,1.80,2.02,1.43,1.31,5.29,1.74,,
October,,,,6.66,1.34,2.22,5.03,6.52,1.28,3.92,,
November,,,,1.87,1.43,4.43,2.95,1.62,2.68,1.81,,
December,,,,1.91,3.58,3.58,2.01,5.25,2.23,4.14,,
Total,,,,44.77,29.95,27.41,36.32,40.69,33.99,33.49,,
Calc annual,0.00,0.00,0.00,44.77,29.95,27.41,36.32,40.69,33.99,33.49,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
