"CONGLETON SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SJ853635,Long,-2.221348,Lat,53.168410,,,,,,,
Station no,2768,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.54,3.90,1.16,1.60,1.93,,
February,,,,,,1.62,2.59,1.58,2.24,1.01,,
March,,,,,,3.53,2.38,1.60,2.43,3.86,,
April,,,,,,2.30,2.44,1.88,2.02,2.21,,
May,,,,,,0.56,2.94,3.24,2.04,1.54,,
June,,,,,,2.02,1.74,4.23,1.68,3.18,,
July,,,,,,2.71,1.09,3.17,2.69,5.07,,
August,,,,,,3.86,2.01,3.85,2.73,2.90,,
September,,,,,,2.04,1.86,0.62,2.77,2.69,,
October,,,,,,2.82,4.96,3.03,0.90,5.27,,
November,,,,,,3.06,1.73,1.84,2.36,1.22,,
December,,,,,,0.53,3.45,1.88,2.41,5.28,,
Total,,,,,,26.59,31.09,28.08,25.87,36.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,26.59,31.09,28.08,25.87,36.16,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,,
