"HURWORTH BURN CROOKFOOT",,,,,,,,,,,,
Grid ref,NZ431309,Long,-1.333216,Lat,54.671335,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.38,3.03,0.56,1.06,0.65,,
February,,,,,,0.66,1.03,1.25,1.02,1.37,,
March,,,,,,1.47,0.95,0.74,3.77,4.63,,
April,,,,,,2.65,0.68,1.69,2.08,2.20,,
May,,,,,,0.77,2.71,2.83,2.40,1.71,,
June,,,,,,0.84,1.01,3.72,0.58,2.23,,
July,,,,,,1.06,0.74,1.40,3.00,2.55,,
August,,,,,,3.25,3.15,2.12,1.06,4.84,,
September,,,,,,2.36,0.35,0.37,2.11,2.14,,
October,,,,,,2.58,4.71,4.80,1.66,2.55,,
November,,,,,,4.68,2.66,2.65,1.47,1.29,,
December,,,,,,0.58,1.96,3.17,0.92,2.95,,
Total,,,,,,21.28,22.98,25.30,21.13,29.11,,
Calc annual,0.00,0.00,0.00,0.00,0.00,21.28,22.98,25.30,21.13,29.11,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,,
