"BETWEEN GLEN FINLAS & BEN LEDI NO. 2",,,,,,,,,,,,
Grid ref,NN564077,Long,-4.318616,Lat,56.240072,,,,,,,
Station no,5516,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.50,8.00,6.30,,
February,,,,,,,,5.60,3.50,3.40,,
March,,,,,,,,4.40,7.75,1.90,,
April,,,,,,,,3.20,1.85,5.95,,
May,,,,,,,,6.30,4.40,5.75,,
June,,,,,,,,7.65,4.80,3.90,,
July,,,,,,,,3.35,7.00,3.80,,
August,,,,,,,,8.60,6.60,4.75,,
September,,,,,,,,3.15,12.50,2.25,,
October,,,,,,,,5.50,3.15,11.60,,
November,,,,,,,,4.50,6.75,2.80,,
December,,,,,,,,7.40,7.30,7.35,,
Total,,,,,,,,61.15,73.60,59.75,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.15,73.60,59.75,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
