"CAMBUSLANG (GREENLEES FILTERS)",,,,,,,,,,,,
Grid ref,NS640590,Long,-4.171401,Lat,55.805074,,,,,,,
Station no,5204,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.37,4.81,5.05,,
February,,,,,,,,3.15,2.59,2.17,,
March,,,,,,,,4.13,4.42,1.49,,
April,,,,,,,,2.10,1.25,2.75,,
May,,,,,,,,4.12,1.25,2.45,,
June,,,,,,,,4.28,1.90,1.75,,
July,,,,,,,,2.92,2.38,3.45,,
August,,,,,,,,4.22,2.04,3.35,,
September,,,,,,,,0.92,4.23,0.87,,
October,,,,,,,,6.83,1.12,6.11,,
November,,,,,,,,2.15,2.53,1.92,,
December,,,,,,,,5.33,1.91,7.10,,
Total,,32.41,26.28,54.14,33.15,,,42.52,30.43,38.46,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.52,30.43,38.46,,
Difference,NaN,32.41,26.28,54.14,33.15,NaN,NaN,0.00,0.00,0.00,,
