"CROMARTY",,,,,,,,,,,,
Grid ref,NH786677,Long,-4.037636,Lat,57.682713,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.43,0.84,1.35,5.20,1.20,,,,1.85,2.61,,
February,2.17,2.29,0.23,4.30,3.65,,,,2.32,0.53,,
March,3.37,1.08,0.99,2.50,0.60,,,,3.38,2.42,,
April,2.21,0.38,0.08,1.35,1.95,,,,1.13,2.21,,
May,1.41,1.70,1.98,1.75,1.30,,,2.76,1.41,2.05,,
June,1.01,1.89,2.72,1.70,1.10,,,4.46,1.23,1.59,,
July,3.13,1.65,2.13,4.40,0.90,,,1.74,0.99,2.48,,
August,1.85,1.66,1.51,2.50,3.10,,,2.39,1.02,1.74,,
September,1.03,1.09,0.97,1.70,1.20,,,0.94,4.85,1.52,,
October,2.47,1.88,0.92,5.20,1.80,,,2.62,0.92,4.28,,
November,4.40,2.49,0.21,3.55,1.25,,,2.32,2.34,1.49,,
December,5.59,1.98,2.45,0.85,2.10,,,2.17,1.03,2.03,,
Total,31.07,18.93,15.54,35.00,20.15,,,,22.47,24.95,,
Calc annual,31.07,18.93,15.54,35.00,20.15,0.00,0.00,19.40,22.47,24.95,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,-0.00,-0.00,,
