"TURRIFF, FORGLEN GARDENS",,,,,,,,,,,,
Grid ref,NJ697521,Long,-2.508030,Lat,57.557973,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.38,1.66,3.61,1.96,1.78,1.09,2.47,1.83,2.03,,
February,,3.50,1.18,2.89,2.56,2.02,2.85,1.58,2.09,1.26,,
March,,2.38,2.16,1.04,1.88,3.94,2.77,1.46,3.78,3.70,,
April,,1.74,2.32,2.28,1.96,2.96,1.91,1.59,2.85,3.03,,
May,,1.70,3.21,2.15,2.15,1.63,5.36,1.94,1.36,2.38,,
June,,3.24,2.38,1.98,1.16,0.94,1.21,4.13,2.19,1.47,,
July,,2.37,4.32,6.65,0.69,3.06,1.35,2.60,4.20,2.13,,
August,,4.16,2.49,3.88,3.91,2.30,3.64,3.35,1.89,2.78,,
September,,1.13,1.84,3.09,2.95,2.01,1.15,0.81,4.49,3.22,,
October,,3.61,2.11,4.66,1.42,6.82,4.58,5.14,0.84,3.76,,
November,,3.63,1.90,4.50,2.71,6.38,4.76,1.55,1.72,5.16,,
December,,4.91,3.53,2.17,3.16,0.80,4.05,2.34,3.18,2.42,,
Total,,34.75,29.10,38.90,26.51,34.64,34.72,28.96,30.42,33.34,,
Calc annual,0.00,34.75,29.10,38.90,26.51,34.64,34.72,28.96,30.42,33.34,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
