"GLANTON GLANTON PYKE GARDENS",,,,,,,,,,,,
Grid ref,NU058142,Long,-1.909922,Lat,55.421677,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.56,2.23,0.51,1.88,1.64,,
February,,,,,,0.83,1.05,1.61,1.73,2.63,,
March,,,,,,2.02,1.53,1.54,3.83,5.85,,
April,,,,,,2.38,1.04,3.49,2.72,3.39,,
May,,,,,,0.74,6.66,3.64,1.98,1.59,,
June,,,,,,0.96,2.04,3.33,0.51,1.64,,
July,,,,,,0.94,1.22,2.26,3.09,2.07,,
August,,,,,,2.82,4.47,2.69,1.97,3.31,,
September,,,,,,2.06,0.51,0.52,2.10,2.67,,
October,,,,,,4.23,6.52,6.82,2.34,3.46,,
November,,,,,,5.98,2.56,2.27,1.40,1.01,,
December,,,,,,0.54,1.95,2.93,2.13,3.14,,
Total,,,,,,24.06,31.78,31.61,25.68,32.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,24.06,31.78,31.61,25.68,32.40,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,,
