"BOLTON BELMONT LONGWORTH",,,,,,,,,,,,
Grid ref,SD674161,Long,-2.494556,Lat,53.640391,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,3.43,8.09,2.38,4.36,,,
February,,,,,,4.34,4.56,2.50,5.15,,,
March,,,,,,5.00,4.53,4.67,4.15,,,
April,,,,,,5.02,3.01,2.85,3.01,,,
May,,,,,,0.94,5.02,5.34,4.09,,,
June,,,,,,2.67,2.76,9.76,2.60,,,
July,,,,,,3.27,2.69,4.44,6.98,,,
August,,,,,,6.44,5.54,6.04,5.20,,,
September,,,,,,3.78,2.26,1.58,5.47,,,
October,,,,,,5.51,7.81,4.56,2.87,,,
November,,,,,,6.07,4.83,4.47,4.60,,,
December,,,,,,1.42,5.43,5.40,4.20,,,
Total,,,,,,47.89,56.53,53.99,52.68,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,47.89,56.53,53.99,52.68,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,NaN,,
