"AMBLESIDE LESKETH HOWE",,,,,,,,,,,,
Grid ref,NY372049,Long,-2.969685,Lat,54.435618,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.78,6.25,5.71,11.98,,5.03,11.98,3.96,,9.22,,
February,8.63,2.52,3.45,12.77,,5.13,12.77,5.95,,5.50,,
March,0.73,6.09,5.43,13.08,,6.39,13.08,7.81,,5.42,,
April,6.11,4.42,3.57,2.91,,6.81,2.91,4.03,,5.15,,
May,4.22,1.83,3.86,5.41,,3.40,5.41,7.09,,3.88,,
June,6.40,3.68,1.60,2.80,,4.00,2.80,10.51,,3.53,,
July,2.58,1.81,3.58,6.31,,2.99,6.31,3.31,,8.51,,
August,8.94,7.38,5.38,10.59,,6.34,10.59,7.65,,4.29,,
September,5.44,5.50,3.44,8.03,,5.13,8.03,1.58,,4.67,,
October,10.26,7.48,6.50,17.22,,5.24,16.62,9.46,,14.10,,
November,7.38,11.19,5.60,5.65,,9.86,5.55,7.53,,4.41,,
December,17.81,10.14,10.23,6.89,,6.61,6.89,12.80,,14.58,,
Total,89.28,68.29,58.35,103.64,,66.93,102.94,81.68,,83.26,,
Calc annual,89.28,68.29,58.35,103.64,0.00,66.93,102.94,81.68,0.00,83.26,,
Difference,0.00,0.00,-0.00,0.00,NaN,0.00,0.00,0.00,NaN,0.00,,
