"MULL, GLENGORM CAS.",,,,,,,,,,,,
Grid ref,NM440571,Long,-6.176372,Lat,56.635517,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,6.16,6.23,3.86,4.71,3.27,6.76,5.88,,
February,,,,8.73,4.04,3.18,3.42,6.24,4.73,3.87,,
March,,,,5.98,4.83,9.17,2.80,0.70,6.26,1.25,,
April,,,,1.55,5.68,2.93,2.81,4.46,1.17,4.19,,
May,,,,3.42,2.26,2.22,3.59,3.10,3.45,3.17,,
June,,,,1.25,2.65,1.70,1.20,3.80,3.59,1.65,,
July,,,,3.71,2.46,1.02,5.16,3.05,3.29,4.92,,
August,,,,6.45,6.18,4.73,3.07,9.13,5.74,3.35,,
September,,,,1.50,3.84,4.66,5.16,1.80,8.90,3.75,,
October,,,,9.75,5.50,5.40,6.62,3.45,2.03,8.77,,
November,,,,4.20,3.85,5.08,6.39,8.22,3.79,4.17,,
December,,,,4.67,3.48,4.67,6.27,7.13,9.48,5.72,,
Total,,47.29,45.91,57.37,51.00,48.62,51.20,54.35,59.19,50.69,,
Calc annual,0.00,0.00,0.00,57.37,51.00,48.62,51.20,54.35,59.19,50.69,,
Difference,NaN,47.29,45.91,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
