"THUNDERSLEY RESERVOIR",,,,,,,,,,,,
Grid ref,TQ790891,Long,0.581596,Lat,51.572349,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.86,,
February,,,,,,,,,,0.86,,
March,,,,,,,,,,2.48,,
April,,,,,,,,,,1.51,,
May,,,,,,,,,,1.03,,
June,,,,,,,,,,2.97,,
July,,,,,,,,,,3.44,,
August,,,,,,,,,,2.72,,
September,,,,,,,,,,2.73,,
October,,,,,,,,,,4.55,,
November,,,,,,,,,,1.20,,
December,,,,,,,,,,3.07,,
Total,,,,,,,,,,27.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
