"WHITTINGTON (NEWCASTLE WW)",,,,,,,,,,,,
Grid ref,NZ007703,Long,-1.990584,Lat,55.027232,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,3.20,1.60,0.63,2.51,0.61,1.58,1.49,,
February,,,,2.39,1.86,1.03,0.86,0.93,1.71,2.36,,
March,,,,1.52,1.30,1.82,1.50,1.34,3.12,3.59,,
April,,,,1.14,2.32,3.57,1.40,2.43,2.00,2.67,,
May,,,,1.38,2.56,0.79,3.36,3.39,2.21,1.66,,
June,,,,2.06,1.56,1.28,0.76,3.05,0.86,1.87,,
July,,,,3.42,1.69,1.65,2.18,2.04,3.07,2.44,,
August,,,,2.80,2.37,3.36,4.29,2.53,1.76,2.46,,
September,,,,4.27,1.25,1.76,0.97,0.69,2.67,1.76,,
October,,,,8.14,0.69,2.25,4.47,6.86,2.86,2.30,,
November,,,,1.26,2.78,3.64,3.58,1.24,1.44,0.68,,
December,,,,2.20,1.50,1.04,1.92,2.67,0.87,3.27,,
Total,,,,33.78,21.48,22.82,27.80,27.78,24.15,26.55,,
Calc annual,0.00,0.00,0.00,33.78,21.48,22.82,27.80,27.78,24.15,26.55,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
