"SEAL WILDERNESS GARDENS",,,,,,,,,,,,
Grid ref,TQ548562,Long,0.218328,Lat,51.283909,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.73,1.10,0.99,2.99,5.60,1.60,7.60,1.85,2.53,1.48,,
February,4.83,1.08,1.49,1.89,5.05,1.34,3.24,2.39,2.39,0.80,,
March,1.39,4.24,2.54,3.38,1.86,5.28,1.99,1.60,3.92,4.41,,
April,1.19,2.65,0.71,2.31,1.49,2.69,1.43,3.68,3.62,2.37,,
May,1.39,0.85,3.27,3.29,2.86,1.36,1.71,2.57,2.78,2.07,,
June,3.26,0.65,3.10,6.98,1.71,6.64,3.66,3.67,2.05,3.45,,
July,1.18,2.68,2.29,6.66,1.77,2.16,0.66,1.45,3.94,4.17,,
August,2.61,1.82,2.69,6.02,2.25,3.21,0.74,2.90,4.97,3.22,,
September,1.41,1.98,1.04,3.27,2.10,3.12,2.31,0.62,2.48,5.13,,
October,2.46,3.32,3.58,7.30,3.03,2.30,6.94,6.41,2.89,7.62,,
November,4.54,1.00,2.36,4.15,2.32,5.93,8.15,3.03,1.49,2.01,,
December,4.17,5.95,3.11,3.02,3.99,1.12,2.42,4.10,3.80,6.16,,
Total,32.16,27.32,27.17,51.26,34.03,36.75,40.85,34.27,36.86,42.89,,
Calc annual,32.16,27.32,27.17,51.26,34.03,36.75,40.85,34.27,36.86,42.89,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
