"RIVELIN V. (OAKING CLOUGH)",,,,,,,,,,,,
Grid ref,SK248864,Long,-1.628705,Lat,53.373882,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.17,3.60,3.30,2.35,5.05,1.45,3.72,2.60,,
February,,,2.03,3.80,6.30,2.22,3.43,2.68,2.42,2.10,,
March,,,2.24,5.10,2.67,3.74,3.33,3.40,3.03,4.40,,
April,,,2.95,2.20,2.73,3.23,0.68,2.46,3.03,2.32,,
May,,,3.89,3.64,2.91,0.66,3.10,4.24,3.51,2.66,,
June,,,2.02,1.79,0.84,3.36,2.25,5.09,1.95,3.89,,
July,,,2.50,3.29,1.68,2.70,2.98,3.04,3.27,4.41,,
August,,,5.48,5.90,4.38,4.83,2.63,3.84,3.81,2.45,,
September,,,2.00,4.78,1.70,2.01,1.13,0.68,2.80,3.32,,
October,,,5.48,8.78,0.90,2.84,6.65,7.12,1.38,4.40,,
November,,,3.31,3.45,4.00,5.86,5.30,3.78,2.43,1.42,,
December,,,3.50,1.81,2.25,1.16,3.57,3.14,2.35,7.30,,
Total,,,38.57,48.14,33.66,34.96,40.10,40.92,33.70,41.27,,
Calc annual,0.00,0.00,38.57,48.14,33.66,34.96,40.10,40.92,33.70,41.27,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
