"HOPE SCHOOL",,,,,,,,,,,,
Grid ref,SK172834,Long,-1.743098,Lat,53.347216,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.27,2.01,2.94,2.41,,
February,,,,,,,4.39,2.96,4.23,2.48,,
March,,,,,,,4.04,4.53,4.48,4.94,,
April,,,,,,,1.93,2.53,2.74,2.43,,
May,,,,,,,2.72,4.09,3.54,2.61,,
June,,,,,,,1.43,6.13,2.32,3.90,,
July,,,,,,,2.59,2.54,3.43,3.86,,
August,,,,,,,3.28,3.74,3.57,1.79,,
September,,,,,,,1.19,0.61,2.75,2.65,,
October,,,,,,,6.17,6.17,1.32,4.72,,
November,,,,,,,5.00,3.88,3.42,1.68,,
December,,,,,,,4.76,3.71,2.84,8.90,,
Total,,,,,,,43.77,42.90,37.58,42.37,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,43.77,42.90,37.58,42.37,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
