"LOGIE COLDSTONE SCHOOL",,,,,,,,,,,,
Grid ref,NJ434044,Long,-2.936531,Lat,57.127021,,,,,,,
Station no,5641,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.85,3.42,1.40,2.75,1.55,1.07,2.37,1.93,1.86,2.12,,
February,4.05,2.78,1.04,3.57,4.20,1.89,2.09,1.79,2.23,1.18,,
March,2.61,3.41,1.96,2.21,1.84,3.37,2.49,1.39,4.56,6.19,,
April,2.23,1.70,2.88,3.40,2.20,3.06,1.78,2.56,3.39,2.99,,
May,1.80,2.46,5.54,2.12,2.96,1.42,6.19,5.58,1.42,2.89,,
June,2.93,2.74,3.54,1.62,0.82,1.12,0.84,4.28,0.91,1.85,,
July,4.35,3.24,3.57,5.57,1.35,4.29,1.89,1.89,3.21,3.44,,
August,6.28,3.58,3.05,3.85,4.52,4.40,5.68,2.66,2.64,2.37,,
September,3.16,1.45,2.06,2.51,2.12,1.85,1.40,1.09,3.27,1.84,,
October,3.08,2.55,1.92,5.46,0.77,3.86,5.57,4.41,0.99,2.85,,
November,3.16,2.14,3.63,2.69,1.55,6.68,6.62,1.64,1.59,1.26,,
December,3.31,4.24,5.10,2.99,2.90,0.65,2.91,2.77,2.37,2.86,,
Total,39.81,33.71,35.69,38.74,26.78,33.66,39.83,31.99,28.44,31.84,,
Calc annual,39.81,33.71,35.69,38.74,26.78,33.66,39.83,31.99,28.44,31.84,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
