"BASINGSTOKE HODDINGTON HOUSE",,,,,,,,,,,,
Grid ref,SU701479,Long,-0.997508,Lat,51.225997,,,,,,,
Station no,750,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.57,1.05,3.58,5.35,0.85,5.90,0.97,1.98,0.93,,
February,,2.46,1.18,1.98,4.38,0.79,2.88,1.65,1.11,0.51,,
March,,2.41,2.32,5.00,1.75,5.10,1.42,1.12,3.75,4.50,,
April,,2.48,1.45,2.51,1.35,1.69,0.75,4.37,3.75,1.83,,
May,,1.04,3.00,2.92,3.79,0.81,1.76,2.05,3.09,1.37,,
June,,1.96,3.83,4.60,0.94,4.91,2.14,2.79,0.81,5.59,,
July,,2.70,1.31,4.28,2.05,0.42,0.49,1.81,2.01,3.46,,
August,,2.14,3.64,4.20,2.62,3.57,1.71,2.81,3.95,2.32,,
September,,1.57,0.66,2.78,1.70,2.29,1.08,0.62,2.07,3.42,,
October,,3.21,2.00,8.95,1.92,2.19,6.12,7.30,1.76,7.23,,
November,,0.81,3.48,1.81,1.40,3.84,4.72,2.69,0.87,0.81,,
December,,5.26,2.09,3.86,3.20,0.69,2.14,5.11,2.87,4.74,,
Total,,27.61,26.01,46.47,30.45,27.15,31.11,33.29,28.02,36.71,,
Calc annual,0.00,27.61,26.01,46.47,30.45,27.15,31.11,33.29,28.02,36.71,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,,
