"HAYFIELD THE DYMPUS",,,,,,,,,,,,
Grid ref,SK036870,Long,-1.947347,Lat,53.379840,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.40,3.28,4.07,2.85,4.80,1.70,3.62,1.90,,
February,,,1.50,3.77,3.52,2.30,2.90,2.12,4.10,3.07,,
March,,,3.54,4.97,2.24,4.47,3.34,3.48,4.46,3.03,,
April,,,2.48,2.65,2.52,3.10,1.83,2.16,2.54,2.84,,
May,,,3.80,2.57,2.26,1.14,4.82,4.54,3.25,2.40,,
June,,,2.04,1.28,1.12,2.68,1.85,7.12,2.04,3.34,,
July,,,2.85,3.50,1.81,2.47,2.61,3.48,4.80,6.25,,
August,,,4.05,5.27,4.68,4.80,3.38,5.37,3.99,3.30,,
September,,,1.25,5.80,1.76,2.71,1.91,0.81,3.68,3.75,,
October,,,5.05,8.95,1.62,3.93,6.41,5.83,1.40,6.25,,
November,,,2.80,4.03,3.45,5.20,4.35,3.42,3.60,1.79,,
December,,,3.80,2.35,2.37,0.81,4.00,3.45,3.45,6.95,,
Total,,,36.56,48.42,31.42,36.46,42.20,43.48,40.93,44.87,,
Calc annual,0.00,0.00,36.56,48.42,31.42,36.46,42.20,43.48,40.93,44.87,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
