"SWANSEA W.W. NANTYRWYDD",,,,,,,,,,,,
Grid ref,SN859183,Long,-3.657979,Lat,51.851594,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,9.25,5.01,,
February,,,,,,,,,6.82,1.81,,
March,,,,,,,,,7.83,7.72,,
April,,,,,,,,,4.42,4.95,,
May,,,,,,,,,6.32,2.74,,
June,,,,,,,,,2.63,5.47,,
July,,,,,,,,,9.27,7.59,,
August,,,,,,,,,10.04,3.73,,
September,,,,,,,,,6.16,5.65,,
October,,,,,,,,,3.99,17.66,,
November,,,,,,,,,7.50,4.76,,
December,,,,,,,,,9.66,15.81,,
Total,,,,,,,,,83.89,82.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.89,82.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
