"PEMBROKE DOCK H.M. DOCKYARD",,,,,,,,,,,,
Grid ref,SM959033,Long,-4.954372,Lat,51.691253,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.61,1.90,,
February,,,,,,,,,1.64,0.39,,
March,,,,,,,,,3.72,5.12,,
April,,,,,,,,3.57,2.63,2.93,,
May,,,,,,,,2.93,2.05,1.24,,
June,,,,,,,,3.43,0.87,2.02,,
July,,,,,,,,1.91,3.76,3.02,,
August,,,,,,,,3.69,5.17,2.06,,
September,,,,,,,,1.36,3.51,2.91,,
October,,,,,,,,8.15,4.23,6.20,,
November,,,,,,,,3.29,2.11,1.64,,
December,,,,,,,,3.67,6.77,5.08,,
Total,,,,,,,,,38.07,34.51,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,38.07,34.51,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
