EXETER-SOUTHAM,,,,,,,,,,
Grid ref,SX951920,Long,-3.487318,Lat,50.71813,Elevation,150,ft,,
Station no,1770/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.87
February,,,,,,,,,,4.82
March,,,,,,,,,,2.22
April,,,,,,,,,,2.62
May,,,,,,,,,,1.76
June,,,,,,,,,,0.28
July,,,,,,,,,,3.25
August,,,,,,,,,,3.59
September,,,,,,,,,,7.34
October,,,,,,,,,3.34,12.32
November,,,,,,,,,8.14,
December,,,,,,,,,7.23,
Total,,,,,,,,,,
,,,,,,,,,,
Exact location unknown so NGR taken from sheet However Southam House is 400yds E,,,,,,,,,,
1960 May 9 Inspection Very slight risk of overexposure to NW Satisfactory,,,,,,,,,,
,,,,,,,,,,
SRC_ID 1374,,,,,,,,,,
1959-1972,,,,,,,,,,
