LITTLEBOROUGH BLACKSTONE EDGE WINDY BANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD944166,Long,-2.086187,Lat,53.645876,Elevation,605,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.1,2,5.5,4.1,4.1,4.3,2.3,5.5,4.5,1.5,0.9,0.5,4.3,5.2,5.4,2.6,5.2,2.1,1.2,1.9,3,3.5,3.1,0.9,3.9,3.2,1.9,1.3,3,6.3,5.4,2.2,4.1,4.6,3.5,1.6,5.2,2.16,3.67,2.64,5.26,2.23,-999,3.84,2.74,6.2,3.38,-999,3.09,4.25,4.8,6.1,3.59,,,,,,,,
February,2,3,4,0.8,1.7,1.2,4.8,5,2,3.2,2.6,6,2.9,2.1,3.2,4.1,0.8,1,0.5,2.3,0.4,0.3,2.7,4.7,5.8,0.2,1.2,3.2,3,2,3.6,0.9,1.2,2.78,4.6,1.8,3.5,2.53,2.9,2.15,4.46,4.99,-999,1.5,3.14,4.89,4.6,-999,5.88,1.6,4.48,0.74,4.71,,,,,,,,
March,3.6,1.1,4,2.9,3.7,0.9,3.7,3.4,1.4,2,2.9,3.8,3.8,0.8,1.9,1.9,3.1,1.7,2.2,2.3,1.9,1.9,1.2,1.3,4.2,3.8,6,5.3,2.2,2,0.9,2.9,2.2,4.7,2.3,3.4,3.3,3.4,3.17,2.83,1.02,2.26,5.73,4.57,4.63,1.48,3.46,-999,1.62,5.81,3.55,3.54,2.87,,,,,,,,
April,1.1,4,3.6,0.3,1.7,1.4,2.3,2.1,1.8,1.7,2,1.1,4,2.1,1.8,2.1,2.8,1,2,2,2.3,2.3,1.2,0.8,1.9,2.4,1.3,3.2,2.1,3.6,2,2.2,2.5,1.6,2.8,2.5,1.4,2.21,2.4,3.38,3.12,2.27,0.9,4.45,1.25,1.7,2.51,-999,1.54,1.75,5.38,1.64,3.1,,,,,,,,
May,2.3,1.9,2.4,2.4,1.7,2.3,1.3,3.1,4.3,1.7,2.2,3.4,2.9,0.7,1.6,1.7,3.7,1.5,0.4,1.3,1.8,3.6,4.2,2.9,2.7,0.6,0.5,1.7,3,3.3,1.6,1.6,3,3.2,1.8,0.9,2.4,3.46,2.79,2.02,2.49,1.7,2.96,3.38,2.05,3.02,2.59,2.13,1.72,1.93,5.23,2.48,0.99,,,,,,,,
June,2.1,3.8,6.4,1.7,0.9,4,3.5,2.5,3,5.5,4.5,1.5,5.8,4.4,0.8,3.1,1.5,0.6,1.7,0.6,2.6,2,3.6,2.6,3,4.3,2.3,3.6,3.1,1.2,3.6,,0.7,1.8,1.7,2.4,1.4,7.27,2.12,1.98,3.46,2.61,5.73,2.18,2.35,0.68,2.61,1.86,1.11,1.9,2.46,0.19,2.21,,,,,,,,
July,1,4.8,4.4,4.8,2.5,5.4,2.8,4.9,0.4,5.5,3,2.8,5.5,2,3.4,1.3,4.1,1.1,4.8,2.8,3.3,2.7,2.6,2.9,3,4.9,2.8,1.7,0.6,2.5,2.4,,2.1,3.6,1.6,3,3.1,2.87,4.67,5.26,4.31,0.74,2.86,1.02,3.42,4.4,2.25,2.03,5.75,1.67,9.17,1.17,4.07,,,,,,,,
August,2,1.3,3.7,4.6,5,3.1,4.1,3.9,5.4,4.9,2,4.7,3.2,2,1.5,1.2,1.8,0.9,3.3,4.3,5.2,7.7,4.9,3.3,4.8,4.6,2.4,3.9,5.5,1,5.6,,2.4,4.9,4.4,4.6,4.3,4.14,3.78,3.61,5.54,2.24,7.02,1.92,3.64,4.33,3.15,6.88,3.04,3.95,2.34,5.83,5.68,,,,,,,,
September,3.8,5,6,2.4,3.9,5.2,3.9,4.6,4.3,3,3.9,2.2,1.9,4.3,2.2,5.1,4,3.8,1.1,1.4,1.3,3.4,4.2,4.4,0.3,1.9,8.2,4.2,0.7,7.4,1.4,,2.2,5.2,0.7,2.4,1.2,1.14,4.22,2.82,0.31,4.18,2.05,1.61,2.87,1.28,2.28,2.39,11.48,1.67,2.38,1.86,2.98,,,,,,,,
October,10.3,5.3,5.5,5.8,5.1,4.8,3.4,5.2,4,2,5.5,2.8,3.9,4.7,2,6.1,4.6,1.3,1.4,1.7,3.7,6.5,7.2,3.5,4.9,4.2,4.4,2.3,4.6,3.1,5.2,2.6,5.5,8.4,2.4,2.7,7,5.28,2.05,5.87,2.6,3.14,5.11,2.15,2.5,1.7,7.62,7.35,3.78,3.15,1.83,3.09,1.12,,,,,,,,
