RIVER MEIG (CORRIEFEOL),,,,,,,,,,
Grid ref,NH203509,Long,-5.001628,Lat,57.512513,Elevation,530,ft,,
Station no,5770/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.86,2.77,5.49,11.39,,3.99,
February,,,,3.16,3.59,4.9,4.64,,3.26,
March,,,,5.09,3.3,2.6,6.07,,3.28,
April,,,,3.84,2.67,3.95,3.62,,4.52,
May,,,,6.16,5.82,4.35,2.53,,1.87,
June,,,,3.21,2.01,3.71,4.01,,3.41,
July,,,,4.53,0.67,6.88,6.05,,5.74,
August,,,,4.39,0.82,6.85,8.65,,,
September,,,,9.96,7.49,5.8,5.93,,,
October,,,,10.82,8.76,7.04,10.46,,,
November,,,9.92,8.18,3.93,7.56,3.35,,,
December,,,6.74,15.72,12.38,10.87,11.22,,,
Total,,,,80.92,54.21,70,77.92,,,
,,,,,,,,,,
BR 1958 NP Unreliable Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5770/9,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
