WEM-SENIOR-SCHOOLS-THOMAS-ADAMS,,,,,,,,,,
Grid ref,SJ508293,Long,-2.7321682,Lat,52.858928,Elevation,265,ft.,,
Station no,2309/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.55,3.89
February,,,,,,,,,0.17,1.48
March,,,,,,,,,1.82,1.73
April,,,,,,,,,3.22,1.23
May,,,,,,,,,1.96,1.6
June,,,,,,,,,2.01,2.39
July,,,,,,,,,1.23,2.64
August,,,,,,,,,0.92,5.69
September,,,,,,,,,0.4,4.59
October,,,,,,,,,2.23,4.46
November,,,,,,,,,3.07,4.54
December,,,,,,,,,4.62,2.62
Total,,,,,,,,,25.2,36.86
,,,,,,,,,,
NOTES,,,,,,,,,,
NGR is from the 1950s record and is the current location of Thomas Adams School. I assume the school moved in 1958. Altitudes match,,,,,,,,,,
"Nov and Dec readings 1959 have been amended in a diferennt ink, no explanation given, Readings left in this record",,,,,,,,,,
