CAMBRIDGE-GRANTCHESTER-MEADOWS (BARTON ROAD),,,,,,,,,,
Grid ref,TL434575,Long,0.096702591,Lat,52.19709,Elevation,35,ft,,
Station no,1201/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.91,1.02,1.76,3.16,1.34,,,
February,,,1.36,1.78,1.48,0.74,2.36,,,
March,,,0.49,1.9,1.34,0.6,,,,
April,,,1.73,0.27,0.5,1.34,,,,
May,,,1.87,3.44,2.7,0.68,,,,
June,,,1.99,1.92,2.22,2.08,,,,
July,,,2.19,2.52,0.54,3.52,,,,
August,,,2.3,3.8,1.56,4.34,,,,
September,,,1.49,1.63,1.93,1.42,,,,
October,,,2.44,1.76,2.81,1.34,,,,
November,,,1.57,3.05,1.53,1.04,,,,
December,,,0.73,1.88,1.55,2.28,,,,
Total,,,19.07,24.97,19.92,22.54,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1957 Mar Gauge moved,,,,,,,,,,
