NORTH-WALSHAM-THE-PASTON-SCHOOL (EMPSON HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG283304,Long,1.3873,Lat,52.8229,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,0.81,0.63,2.82,1.74,2.39,2.67,2.46,2.88,1.4,1.77,2.2,2.84,1.81,1.96,4.44,1.78,2.17,1.32,2.77,1.9,,,
February,,,,,,,,,1.55,0.62,1.98,1.67,1.5,0.71,1.43,2.29,3.53,0.92,1.04,2.56,0.59,0.42,2.68,2.65,1.59,1.8,1.8,1.84,,,
March,,,,,,,,,2.31,2.72,0.61,1.94,2.99,2.14,2.97,1.95,2.8,2.18,0.62,1.8,0.99,0.95,1.61,1.67,0.78,1.56,0.33,2.2,,,
April,,,,,,,,,2.4,1.08,1.83,0.82,0.36,1.77,0.61,0.75,2.06,2.14,2.55,1.48,2.59,1.28,2.6,0.88,1.5,2.15,2.82,1.54,,,
May,,,,,,,,,1.3,0.85,2.45,1.1,0.64,1.06,0.98,1.73,2.26,0.46,0.83,0.83,0.91,1.28,0.47,1.74,3.47,2.05,1.3,0.81,,,
June,,,,,,,,,0.82,2.36,2.19,2.49,3.77,1.13,1.7,0.63,3.7,1.06,1.01,1.22,1.51,0.36,1.34,0.9,1.53,0.79,3.28,4.56,,,
July,,,,,,,,,2.58,3.29,3.4,0.28,3.99,1.96,2.17,4.02,1.36,2.35,3.76,2.95,2.71,0.45,5.18,2.41,2,1.8,1.49,2.74,,,
August,,,,,,,,,2.44,2.5,1.11,0.8,8.01,1.75,1.23,4.93,2.72,3.66,2.46,2.12,1.93,2.43,1.37,2.38,1.83,3.22,2.07,2.45,,,
September,,,,,,,,,2.53,1.39,0.98,1.93,2.38,1.93,1.24,1.43,1.35,1.49,4.23,1.3,2.67,0.82,2.83,1.82,2.79,3.51,1.28,3.66,,,
October,,,,,,,,,1.08,3.72,2.04,2.23,2.16,4.34,2.05,1.83,2.16,3.4,2.41,3.12,1.13,2.05,1.6,3.21,4.16,1.6,2.85,2.83,,,
November,,,,,,,,,1.53,1.37,4.79,2.95,3.12,1.99,2.33,3.54,2.52,2.07,1.69,2.55,0.8,2.16,1.68,4.11,1.63,4.14,2.95,4.58,,,
December,,,,,,,,,1.19,4.85,3.88,3.04,2.09,0.56,6.12,3.57,3.31,0.92,3.48,4.5,2.94,2.21,2.13,3.64,2.41,3.11,1.27,2.01,,,
Total,,,,,,,,,20.54,25.38,28.08,20.99,33.4,22.01,25.29,29.55,29.17,22.42,26.28,27.27,20.58,16.37,27.93,27.19,25.86,27.05,24.21,31.12,,,
