CRAY-CWMUCHAF,,,,,,,,,,
Grid ref,SN896241,Long,-3.6061405,Lat,51.904465,Elevation,940,ft.,,
Station no,4190,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,11.83,7.86,8.98,9.32
February,,,,,,,9,12.65,0.47,10.49
March,,,,,,,7.85,1.15,7.27,2.76
April,,,,,,,0.37,1.83,7.05,6.59
May,,,,,,2.59,3.96,6.35,1.67,2.69
June,,,,,,4.44,1.32,3.91,4.9,3.11
July,,,,,,4.67,6.31,3.77,5.44,
August,,,,,,7.04,5.92,3.85,0.96,
September,,,,,,6.78,11.36,10.03,0.49,5.57
October,,,,,,3.74,6.38,6.4,7.54,8.39
November,,,,,,2.24,4.43,3.09,11.81,17.82
December,,,,,,10.04,6.49,7.01,17.42,9.66
Total,,,,,,,75.22,67.9,74,
,,,,,,,,,,
NGR is Cwnuchaf. Altitudes match.,,,,,,,,,,
