FALSTONE,,,,,,,,,,
Grid ref,NY723874,Long,-2.4365056,Lat,55.18011,Elevation,450,ft,,
Station no,RR8813,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,1.27,4.87,7.56,,,,,,
February,,2.99,3.12,0.57,,,,,,
March,,2.06,3.21,3.39,,,,,,
April,,4,3.29,1.3,,,,,,
May,,1.21,2.95,2.54,,,,,,
June,,2.21,3.22,1.73,,,,,,
July,,4.74,4.35,3.03,,,,,,
August,,2.49,3.87,5.64,,,,,,
September,,2.03,3.99,3.42,,,,,,
October,,3.99,3.35,4.91,,,,,,
November,,1.66,4.33,3.8,,,,,,
December,,5.9,4.96,3.03,,,,,,
Total,,34.55,45.51,40.92,,,,,,
