EPSOM-THE-DURDANS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ208594,Long,-0.26785095,Lat,51.320888,Elevation,217,ft.,,,,,,,,,,,,,
Station no,RR8234,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.2,2.93,3.68,0.63,4.59,0.96,1.14,3.02,4.04,3.01,2.1,3.51,1.69,,,,,,,
February,,1.29,1.96,0.85,4.3,5.31,4.23,1.04,1.07,2.21,0.75,0.25,2.45,5,,,,,,,
March,,1.84,3.84,2.87,4.43,0.69,4.39,1.61,1.1,3.75,1.86,1.36,2.23,2.4,,,,,,,
April,,1.95,0.07,2.76,0.79,1.45,1.43,2.48,4.22,3.1,3.42,1.12,2.97,2.25,,,,,,,
May,,2.45,1.35,1.85,1.47,2.9,2,1.79,1.99,0.18,0.7,2.56,0.87,2.88,,,,,,,
June,,2.57,3.3,0.39,0.88,0.78,1.93,1.79,1.1,1.2,1.79,0.11,1.24,0.5,,,,,,,
July,,0.47,1.78,2.84,2.37,4.03,1.24,4.9,5.98,2.16,4.82,0.55,4.49,3.51,,,,,,,
August,,0.99,5.97,2.24,2.06,1.85,3.06,4.55,1,2.82,1.79,1.27,2.72,2.4,,,,,,,
September,,1,3.61,2.25,0.89,2.15,1.7,1.92,4.97,1.98,3.09,1.26,2.08,1.55,,,,,,,
October,,3.69,2.6,4.26,1.39,2.37,4.56,3.75,1.35,0.86,1.43,0.7,1.32,6.81,,,,,,,
November,,3.86,2.21,2.57,3.8,2.92,5.6,1.31,2.71,1.84,1.82,1.91,1.8,1.79,,,,,,,
December,,7.03,3.13,1.04,8.17,5.75,3.31,1.63,2.29,4.51,2.37,1.59,4.61,2.99,,,,,,,
Total,,28.34,32.75,27.6,31.18,34.79,34.41,27.91,30.8,28.65,26.85,14.78,30.29,33.77,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is The Durdans. Altitudes match.,,,,,,,,,,,,,,,,,,,,,
