SHEEPWASH-WW,,,,,,,,,,
Grid ref,SJ951452,Long,-2.0744678,Lat,53.004093,Elevation,685,ft.,,
Station no,2364/3/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,1.56
May,,,,,,,,,,1.94
June,,,,,,,,,,4.19
July,,,,,,,,,,3.44
August,,,,,,,,,,6.35
September,,,,,,,,,,5.24
October,,,,,,,,,,5.41
November,,,,,,,,,,4.62
December,,,,,,,,,,3.54
Total,,,,,,,,,,
,,,,,,,,,,
"NGR is from the 1950s record and is near Sheepwash Pumping Station. Stated altitude 45 ft. too low, MIDAS figure used",,,,,,,,,,
NGR could be 100m SW nearer the pumping station.,,,,,,,,,,
"MIDAS src_id 2950 ends 1983, uses same NGR but has correct altitude",,,,,,,,,,
