WYLAM HOLEYN HALL,,,,,,,,,,
Grid ref,NZ109661,Long,-1.8311862,Lat,54.989373,Elevation,300,ft,,
Station no,RR7489,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.14,0.83,5.74,3.86,3.06,,0.45,0.29,1.23
February,,3.3,0.8,2.41,1.57,3.57,,0.1,0.41,0.25
March,,2.87,2.14,1.97,1.89,3.62,,0.96,4.28,3.56
April,,1.25,1.8,2.39,2.69,2.17,,0.38,1.74,1.01
May,,1.49,0.96,5.51,1.21,4.07,,1.3,1.1,1.37
June,2,2.75,2.47,4.26,1.62,3.25,,0.13,3.46,0.35
July,5.08,3.27,2.32,3.31,2.21,4.86,,0.31,4.83,1.72
August,1.22,5.01,2.95,4.69,1.35,5.72,,1.05,2.23,3.78
September,4.95,5.1,3.25,3.98,1.1,6.59,,3.05,1.51,1.62
October,5.54,4.21,3.48,4.62,1.6,7.37,,5.01,0.52,2.97
November,2.41,1.83,3.7,3.29,1.35,3.26,,2.72,3.8,0.29
December,3.95,2.4,1.74,1.6,1.07,2.93,,1.09,0.89,0.56
Total,,34.62,26.44,43.77,21.52,50.47,,16.55,25.06,18.71
,,,,,,,,,,
"Record notes 1883 amounts very large; 1885 unreliable, 1887 ditto, 1888 ditto snow not measured",,,,,,,,,,
