TRAWSFYNYDD-OBSERVER-TARRETT,,,,,,,,,,
Grid ref,SH708354,Long,-3.9222586,Lat,52.900464,Elevation,700,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,5.83,8.05,8.2,,
February,,,,,,4.4,7.48,5.88,,
March,,,,,,3.49,2.94,3.11,,
April,,,,,,1.04,1.2,7.91,,
May,,,,,5.55,5.46,2.5,3.14,,
June,,,,,8,1.25,5.75,,,
July,,,,,4.57,1.27,1.63,5.5,,
August,,,,,2.5,6.27,3.5,,,
September,,,,,11.45,1.25,10.92,,,
October,,,,,2.2,8.15,1.9,6.41,,
November,,,,,11.45,7.11,7.69,1.5,,
December,,,,,6,2.66,5.95,,,
Total,,,,,,48.18,59.51,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
NGR is in Trawsfynydd village at about the right altitude. Could be +/- 200m or more,,,,,,,,,,
