"LEEK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR416,,,,,,,,,,,
,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,,,,,,,0.73,7.09,3.75,3.41,,
February,,,,,,,4.42,1.25,1.17,1.31,,
March,,,,,,,3.68,0.91,2.10,0.97,,
April,,,,,,,0.74,1.76,4.53,2.58,,
May,,,,,,,2.77,1.70,6.00,3.46,,
June,,,,,,,4.44,4.24,2.86,1.64,,
July,,,,,,,7.77,1.84,4.65,4.34,,
August,,,,,,,1.31,3.05,1.16,2.90,,
September,,,,,,,0.18,1.75,2.67,2.03,,
October,,,,,,,0.81,2.46,3.64,2.82,,
November,,,,,,,1.02,2.41,3.57,3.82,,
December,,,,,,,6.31,2.52,3.19,4.17,,
Total,,,,,,,34.18,30.98,39.29,33.45,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,34.18,30.98,39.29,33.45,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
