LEEK-OBSERVER-FARROW,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ983567,Long,-2.0268469,Lat,53.107488,Elevation,591,ft.,,,,,,,,,,,,
Station no,RR416,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,0.73,7.09,3.75,3.41,4.5,1.25,2.54,5.25,1.98,4.88,6.06,,,
February,,,,,,,4.42,1.25,1.17,1.31,2.3,1.9,0.45,0.67,3.45,4.95,5.28,,,
March,,,,,,,3.68,0.91,2.1,0.97,4.83,7.2,2.63,2.12,4,5.85,4.15,,,
April,,,,,,,0.74,1.76,4.53,2.58,1.87,3.15,2.6,1.21,1.47,1.42,0.88,,,
May,,,,,,,2.77,1.7,6,3.46,4.14,1.6,2.99,2.97,2.68,1.97,1.98,,,
June,,,,,,,4.44,4.24,2.86,1.64,6.36,3,2.08,4.42,2.22,0.31,3.81,,,
July,,,,,,,7.77,1.84,4.65,4.34,2.62,4.05,3.62,1.6,1.28,2.53,2.53,,,
August,,,,,,,1.31,3.05,1.16,2.9,4.88,2.1,2.57,5.3,1.74,6.59,6.54,,,
September,,,,,,,0.18,1.75,2.67,2.03,3.02,4.6,2.16,5.67,3.97,0.22,8.07,,,
October,,,,,,,0.81,2.46,3.64,2.82,5.18,1.55,3.64,6.43,1.73,6.24,4.88,,,
November,,,,,,,1.02,2.41,3.57,3.82,3.1,3.95,0.87,5.91,5.39,4.7,4.84,,,
December,,,,,,,6.31,2.52,3.19,4.17,3.8,2.05,2.84,6.06,2.43,1.71,2.32,,,
Total,,,,,,,34.18,30.98,39.29,33.45,46.6,36.4,28.99,47.61,32.34,41.37,51.34,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is for the area known as Petty France just north of St Edwards Church, the observer, Robert Farrow, lived there in the 1861 census. Altitudes match.",,,,,,,,,,,,,,,,,,,,
