LEEK-OBSERVER-EYRE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ987569,Long,-2.0208728,Lat,53.109287,Elevation,538,ft.,,,,,,,,,,,,
Station no,RR416,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,4.9,3.21,1.91,0.71,0.38,2.74,4.61,7.08,4.17,,,,
February,,,,,,,,4.18,1.43,3.21,2.8,6.74,3,3.91,3.96,4,,,,
March,,,,,,,,3.43,1.17,1.08,2.09,3.64,3.46,0.98,4.88,2.4,,,,
April,,,,,,,,1.72,1.6,1.8,1.1,1.38,4.22,2.08,2.05,3.49,,,,
May,,,,,,,,4.04,5.05,1.9,2.17,2.99,1.92,0.78,2.53,3.58,,,,
June,,,,,,,,3.26,3.35,5.12,1.99,2.11,7.2,5.85,2.63,4.06,,,,
July,,,,,,,,3.99,1.18,4.38,6.04,3.58,6.02,2.79,5.8,0.49,,,,
August,,,,,,,,4.48,4.83,6.47,2.28,7.24,4.51,3.13,3.18,1.42,,,,
September,,,,,,,,2.46,4.71,3.23,6.05,2.29,1.66,7.3,4.9,5.24,,,,
October,,,,,,,,2.44,3.27,1.38,4.44,3.01,5.03,6.33,3.97,7.11,,,,
November,,,,,,,,3.57,2.87,1.65,3.6,2.75,7.45,4.84,3.76,5.8,,,,
December,,,,,,,,3.33,2.34,2,6.32,4.09,6.9,3.44,5.87,3.41,,,,
Total,,,,,,,,41.8,35.01,34.13,39.59,40.2,54.11,46.04,50.61,45.17,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is 400 yards north of church, as described on record. Samuel Eyre, the observer is S Eyre, lived in Ball Haye Road in 1861 and this is consistent with the church relationship. Stated altitude is 100 ft. too low.",,,,,,,,,,,,,,,,,,,,
