"CAMBRIDGE BOTANIC GARDENS",,,,,,,,,,,,
Grid ref,TL454571,Long,0.125772,Lat,52.192973,,,,,,,
Station no,1203,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.42,0.44,0.67,,,1.09,3.01,1.16,0.79,0.75,,
February,2.90,0.57,1.53,,,1.09,1.71,1.15,1.06,0.24,,
March,0.56,2.18,1.59,,,1.83,1.62,0.86,1.70,2.81,,
April,0.72,2.70,0.96,,,1.51,0.85,2.38,2.28,1.69,,
May,1.33,0.92,3.90,,,1.03,1.28,2.74,1.16,1.38,,
June,2.25,2.09,2.65,,,3.14,3.56,2.16,1.25,3.13,,
July,1.04,2.31,0.77,,,1.40,0.69,1.54,2.65,2.60,,
August,2.48,2.05,3.65,,,2.29,0.70,1.71,2.04,1.90,,
September,0.67,2.16,0.04,,,1.92,0.72,0.52,1.35,1.70,,
October,2.04,3.57,1.25,,,1.31,2.98,1.95,1.07,3.65,,
November,2.15,1.18,1.14,,,1.72,3.33,2.30,0.77,0.51,,
December,2.38,2.69,1.33,,,0.66,1.87,2.74,1.47,2.70,,
Total,20.94,22.86,19.48,,,18.99,22.32,21.21,17.59,23.06,,
Calc annual,20.94,22.86,19.48,0.00,0.00,18.99,22.32,21.21,17.59,23.06,,
Difference,0.00,-0.00,0.00,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
