LEEK-MIDDLE-HILLS,,,,,,,,,,
Grid ref,SK030639,Long,-1.9565758,Lat,53.172203,Elevation,1480,ft.,,
Station no,2376,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.1,4.25,3.5,5.9
February,,,,,,,2.9,7.65,1.05,3.15
March,,,,,,,4.9,2.2,2.5,1.6
April,,,,,,,0.45,1.95,3.7,2.5
May,,,,,,,1.95,4.15,1.25,2.3
June,,,,,,,2.95,7,2.2,2.55
July,,,,,,3.4,6.1,5.8,3.55,6.4
August,,,,,,11.25,6.6,4.8,0.75,5.7
September,,,,,,4.9,10.95,6.55,0.3,5.3
October,,,,,,3.6,4.4,5.6,3.45,8.7
November,,,,,,2.4,2.2,2.15,5.15,6.3
December,,,,,,5.05,5,4.75,7.35,4.8
Total,,,,,,,51.5,56.85,34.75,55.2
,,,,,,,,,,
NGR is from the 1950s record and is near Middle Hills. Altitudes match.,,,,,,,,,,
MIDAS src_id 3175 ends 1983,,,,,,,,,,
