DOLGELLY-LLANELLTYD,,,,,,,,,,
Grid ref,SH717195,Long,-3.9026321,Lat,52.757827,Elevation,20,ft.,,
Station no,RR6557,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,6.84,,,,,,,
February,,,1.79,,,,,,,
March,,,4.98,,,,,,,
April,,,7.06,,,,,,,
May,,,5.61,,,,,,,
June,,,6.87,,,,,,,
July,,,10.23,,,,,,,
August,,,4.04,,,,,,,
September,,7.76,6.04,,,,,,,
October,,1.99,12.16,,,,,,,
November,,11.14,2.64,,,,,,,
December,,5.13,10,,,,,,,
Total,,,78.26,,,,,,,
,,,,,,,,,,
NGR is centre of Llanelltyd.,,,,,,,,,,
The stated altitude is south of this but is an area liable to flooding.,,,,,,,,,,
NGR could be +/- 500m or more.,,,,,,,,,,
No other locations in Merionethshire with readings in 1861 and 1862,,,,,,,,,,
Dec 1862 is in a different hand and may be estimated; left in this record,,,,,,,,,,
