CONGRESBURY,,,,,,,,,,
Grid ref,ST438632,Long,-2.808638,Lat,51.36507,Elevation,36,ft,,
Station no,2043/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.65,2.73,3.28,3.32,3.43
February,,,,,,0.13,3.33,3.5,0.32,2.38
March,,,,,,0.8,2.37,0.98,3.52,2.28
April,,,,,,1.47,0.08,1.12,2.49,2.09
May,,,,,,0.61,1.33,2.86,1.29,1.67
June,,,,,,2.11,2.03,3.02,0.82,2.67
July,,,,,,1.91,4.32,2.14,2.92,9
August,,,,,,4.13,2.41,3.55,3.25,4.12
September,,,,,,3.93,3.09,4.89,0.21,3.95
October,,,,,,1.91,3.33,2.79,3.56,8.21
November,,,,,,0.36,3.09,2.14,4.72,4.98
December,,,,,,3.34,2.66,3.76,6.65,3.86
Total,,,,,,24.35,30.77,34.03,33.07,48.64
,,,,,,,,,,
1955 Dec 12 Stn moved from Stn No 2041/7 YATTON GLENTWORTH 2 miles NW,,,,,,,,,,
Location of gauge not found NGR on sheet matches elevation but distance to church and station suggest it was 200 or 300yds N but elevation 10ft lower,,,,,,,,,,
1956 Record rather low but accept,,,,,,,,,,
,,,,,,,,,,
SRC_ID 9399,,,,,,,,,,
1956-1971,,,,,,,,,,
