HURST-BROOK-VALLEY,,,,,,,,,,,,,,,,,,,,
Grid ref,SK077924,Long,-1.8855829,Lat,53.428335,Elevation,1500,ft.,,,,,,,,,,,,
Station no,RR1369,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,,,2.6,3,1.3,,,,,,,
February,,,,,,,,,,,6.6,3.3,2.7,,,,,,,
March,,,,,,,,,,,0.5,3.3,5.9,,,,,,,
April,,,,,,,,,,,1.6,6.4,4,,,,,,,
May,,,,,,,,,,,7.7,4.6,2.3,,,,,,,
June,,,,,,,,,,,6.5,5.9,2.2,,,,,,,
July,,,,,,,,,,,6.3,7.2,3.5,,,,,,,
August,,,,,,,,,,3.8,9.5,7.3,5.2,,,,,,,
September,,,,,,,,,,8,6.7,6,-999,,,,,,,
October,,,,,,,,,,4.5,6.5,10.5,-999,,,,,,,
November,,,,,,,,,,12.3,7,9,4.3,,,,,,,
December,,,,,,,,,,4.9,1.5,6.1,3.3,,,,,,,
Total,,,,,,,,,,,63,72.6,47.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is on the A57 at 1500 ft. The record says the gauge is at the head of Brook Valley and this is the most likley valley to have been used because a road existed along this route from Roman times. NGR could be up to 1.2km W or 600m NW to be on the other valleys feeding Hurst Brook. Readings probably to do with the construcion of Hurst Brook Reservoir, which was built about the time of the readings",,,,,,,,,,,,,,,,,,,,
