THE STYE (Short-Lived C Gauge),,,,,,,,,,
Grid ref,NY231107,Long,-3.189,Lat,54.486,Elevation,1077,ft,,
Station no,RR47,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,10.00,,
February,,,,,,,,12.00,,
March,,,,,,,,4.50,,
April,,,,,,,,9.00,,
May,,,,,,,,4.50,,
June,,,,,,,,1.75,,
July,,,,,,,,10.00,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,18.20,,,
Total,,,,,,,,,,
,,,,,,,,,,
TYRain_1880-1889_12_pt1/044,,,,,,,,,,
,,,,,,,,,,
# This Stye gauge was initially commissioned by George Symons to investigate the Stye area further. It was,,,,,,,,,,
"# labelled 'SE C' as it was positioned to the south-east of the pre-existing A gauge, further on from",,,,,,,,,,
# the 'SE B' gauge set up at the same time. The SE C gauge operated for only a few months.,,,,,,,,,,
