NORTHLEACH-SHERBORNE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP168146,Long,-1.7564,Lat,51.8299,Elevation,420,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.88,0.76,0.9,3.3,2.91,1.02,2.57,2.44,3.45,0.82,1.92,0.75,4.24,3.49,1.29,1.23,3.38,3.48,1.03,5.29,0.95,1.48,1.25,2.93,1.26,5.41,4.86,1.01,4.01,2.02,1.98,3.28,4.8,3.37,3.01,3.43,2,3.55,1.78,4.21,3.2,4.56,1.18,4.17,1.97,2.97,,,0.64,3.56,4.39,3.71,6.28,2.91,3.12,3.82,5.44,2.1,2.2,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.01,1.09,1.86,0.63,0,1.59,3.72,2.09,0.24,0.42,2.91,1.55,3.18,5.93,1.56,1.48,1.59,5.35,0.67,2.32,1.55,1.2,0.42,4.15,1.76,2.38,1.64,3.29,5,5.48,1.46,1.48,3.44,1.16,0.5,3.09,5.07,0.77,3.27,1.83,3.42,2.47,0.68,0.56,2.11,0.21,,,3.08,2.23,5.37,0.94,1.57,2.86,3.07,0.72,1.28,0.97,2.43,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.66,1.51,3.8,3.48,1.16,1.61,0.94,0.2,2.08,2.88,3.1,4.53,0.72,0.67,0.91,2.54,1.71,3.84,1.38,4.01,1.67,1.09,3.23,4.18,0.76,2.06,4.9,4.31,4.64,1.11,4.95,2.46,1.66,4.87,2.79,1.83,2.28,2.13,1.26,0.45,0.49,2.72,2.63,0.24,1.79,0.22,2.17,,,0.37,2,3.49,0.22,2.01,2.77,2.22,2.32,1.17,0.22,0.88,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.86,1.37,2.17,3.11,1.47,0.74,0.77,0.09,2.06,2.82,0.64,2.01,1.81,2.07,1.18,2.95,1.94,2.38,1.15,2.51,0.59,3.05,3.37,2.17,3.02,1.2,0.12,4.17,1.56,1.11,1.24,1.62,3.05,2.89,5.73,1.52,2.81,2.25,3.12,1.85,3.03,1.56,0.92,1.3,3.09,3.46,2.64,,,4.62,1.5,2.92,0.07,4.02,1.75,1.16,0.98,0.55,1.53,1.32,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,4.01,1.26,1.57,3.22,2.07,3.52,1.1,1.55,2.08,0.38,0.31,1.11,3.27,1.65,1.73,1.49,2.43,5.44,3.25,0.46,1.82,3.16,1.65,1.77,1.83,1.27,2.56,2.52,1.64,3.56,2.91,3.68,1.59,0.61,1.97,1.96,0.6,1.6,5.83,4.26,3.33,1.56,0.71,2.49,1.72,4.31,7.84,,0.85,0.93,0.46,2.06,2.1,1,1.51,1.68,4.21,3.41,0.85,2.43,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.07,1.51,2.27,0.61,2.23,1.74,2.89,1.15,2.09,1.35,1.72,2.49,1.23,1.35,1.89,2.09,3.41,4.53,0.93,3.69,2.96,2.48,1.05,4.43,3.49,2.39,5.17,0.52,2.01,1.15,2.2,2.14,1.06,0.93,3.13,0.18,0.77,0.36,2.09,0.16,2.49,3.34,2.62,1.34,1.51,4.45,1.02,,1.29,3.92,3.08,1.02,1.05,2.06,0.41,2.29,0.19,1.82,2.11,3.47,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.76,0.93,5.28,2.65,3.22,2.7,2.42,2.68,3.03,3.91,0.79,1.28,0.76,0.89,1.57,2.51,1.2,3.87,2.21,2.16,1.03,4.69,2.34,2.31,2.17,0.93,4.4,1.89,4.44,4.36,1.56,2.08,3.63,2.44,4.65,0.26,4.76,2.2,3.91,3.53,2.22,2.81,2.93,1.75,3.2,3.46,,,0.88,0.72,5.34,2.64,1.72,4.69,3.21,2.7,2.52,0.63,2.67,1.82,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.14,1.28,2.8,3.19,2.19,6.56,3.84,1.86,2.32,2.67,2,6.14,2.08,1.72,4.48,2.18,2.57,3.43,2.97,4.42,0.95,2.28,4.09,2.44,3.57,1.87,6.51,0.71,1.86,2.66,4.35,5.73,1.63,2.66,1.43,1.89,5.51,1.91,2.79,2.1,1.69,5.08,2.07,1.75,2.89,3.22,,,1.84,1.9,0.29,0.28,2.79,2.24,0.1,4.94,5.09,2.52,1.61,2.21,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,2.63,2.7,1.17,1.82,1.43,1.92,2.89,0.71,2.3,0.73,6.35,1.89,1.5,2.06,0.53,1.91,2.02,3.11,2.31,1.26,0.79,0.79,1.69,3.61,0.46,1.5,0.92,2.33,1.63,1.49,1.61,2.42,5.45,2.08,2.01,1.62,2.06,2.73,3.88,3.34,1.15,5.45,0.73,0.37,3.55,1.92,,,3,5.25,4.82,1.58,4.08,1.52,0.64,0.97,2.09,1.32,3,1.91,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.33,3.17,0.45,2.6,1.55,6.44,2.83,2.87,4.08,3,3.46,1.85,3.41,2.78,2.95,1.87,2.24,6.18,1.24,0.99,6.03,7.12,1.97,4.86,2.78,2.99,3.63,4.43,2.53,3.82,5.59,4.21,2.02,1.79,2.8,1.37,0.6,4.5,4.16,3,2.33,2.03,4.54,4.14,1.9,0.75,,,1.55,4.71,1.03,3.55,3.86,4.48,4.38,2.01,3.61,2.4,4.19,3.01,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
