Rainfall at,ISLAY (RHINNS)
,
Station no,5440,
,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,6.06,3.97,2.43,4.13,2.86,3.06,4.41,5.52,3.89,3.56,
February,4.88,0.09,3.73,1.00,3.18,1.58,4.57,1.98,3.41,1.92,
March,1.78,3.17,2.49,2.91,1.73,2.97,1.04,2.38,2.93,4.09,
April,2.14,2.84,1.90,2.69,1.61,1.17,2.75,0.23,1.41,3.09,
May,4.03,1.93,2.25,2.51,1.44,1.63,1.84,2.45,1.43,1.71,
June,4.19,1.39,1.64,2.24,1.43,3.14,2.24,3.67,1.84,1.44,
July,3.98,3.41,2.73,2.62,0.73,3.33,3.76,3.85,3.54,3.38,
August,1.97,2.93,4.00,1.85,1.99,2.96,2.33,1.97,2.02,1.41,
September,2.18,3.70,1.00,4.32,4.85,3.13,2.68,3.37,4.34,4.05,
October,3.20,5.36,3.30,5.23,7.71,3.78,3.09,6.44,2.60,6.04,
November,4.76,4.22,2.91,2.79,5.07,4.23,1.49,6.11,6.26,4.33,
December,4.34,4.37,2.20,3.70,2.50,3.49,2.87,3.97,3.71,5.29,
Total,43.51,37.38,30.58,35.99,35.10,34.47,33.07,41.94,37.38,40.31,
Calc annual,43.51,37.38,30.58,35.99,35.10,34.47,33.07,41.94,37.38,40.31,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
