WIGTON (CUMBERLAND),,,,,,,,,,
Grid ref,NY254483,Long,-3.1626378,Lat,54.823964,Elevation,102,ft,,
Station no,RR8226,,,,,,,,,
,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,,1.49,1.71,2.2,2.54,0.55,,,
February,,,5.03,2.37,1.43,1.35,5.07,,,
March,,,5.2,1.56,2.68,0.86,1.69,,,
April,,,2.26,1.64,1.34,1.41,1.89,,,
May,,,1.58,5.22,1.09,1.4,0.47,,,
June,,,1.12,1.73,1.16,2.66,0.42,,,
July,,,4.78,4.21,2.38,0.32,2.05,,,
August,,1.8,3.45,4.9,2.17,4.72,,,,
September,,3.6,2.43,4.98,3.6,3.42,,,,
October,,6.2,5.06,3.92,3.51,3.79,,,,
November,,,6.92,2.01,6.42,6.42,,,,
December,,,2.09,3.12,8.21,2.55,,,,
Total,,,41.41,37.37,36.19,31.44,,,,
,,,,,,,,,,
1822 and 1825 totals added manually,,,,,,,,,,
1821 May-June bracketed 1.74,,,,,,,,,,
"Data submitted to Secretary of Yorks Phil Soc via John Pemberton of York ""from a gauge kept by an accurate person""",,,,,,,,,,
Wigton the only locational information,,,,,,,,,,
NGR for Wigton Market Place,,,,,,,,,,
