ST-ENODER-RETYN,,,,,,,,,,
Grid ref,SW884586,Long,-4.97815,Lat,50.38912,Elevation,230,ft,,
Station no,RR8691,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,8.01,5.52,5.05,8.51,1.01,7.92,,
February,,,7.06,5.14,3.79,1.5,4.91,3.6,,
March,,,3.78,4.17,1.91,1.39,4.69,3.01,,
April,,,3.65,0.46,1.96,2.01,3.59,5.28,,
May,,,1.6,2.04,0.96,2.9,0.32,3.34,,
June,,,3.27,1.56,1.57,1.89,0.76,2.84,,
July,,,2.91,4.01,2.06,2.68,0.54,4.21,,
August,,,1.4,5.4,3.01,3.68,4.37,5.69,,
September,,,4.13,2.68,5.38,5.56,4.76,2.82,,
October,,,6.73,3.04,3.95,6.97,5.4,3.06,,
November,,,6.23,4.77,3.86,6.23,5.33,6.74,,
December,,,6.45,1.12,6.17,2.92,10.34,3.24,,
Total,,,55.22,39.91,39.67,46.24,46.02,51.75,,
,,,,,,,,,,
Elevation on sheet is 150ft but BR has question mark after it,,,,,,,,,,
Lowest elevation 0.25 miles W at river in bottom of valley is 170ft ,,,,,,,,,,
