ST KILDA,,,,,,,,,,,
Grid ref,NF104991,Long,-8.564411,Lat,57.811156,Elevation,35,ft,,,
Station no,5765/9,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,
February,,,,,,,,,,,
March,,,,,,,,,,,
April,,,,,,,,,,,
May,,,,,,,,2.58,,,
June,,,,,,,,6.64,,,
July,,,,,,,,5.01,,,
August,,,,,,,,4.16,,,
September,,,,,,,,,,,
October,,,,,,,,,,,
November,,,,,,,,,,,
December,,,,,,,,,,,
Total,,,,,,,,,,,
,,,,,,,,,,,
figures from ,,,,,,,,,,,
Meteorological Magazine Feb  1928,,,,,,,,,,,
