BLACK-MOUNTAINS-BLAEN-Y-CWM-NO-5,,,,,,,,,,
Grid ref,SO246295,Long,-3.0987031,Lat,51.958851,Elevation,1544,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,8.61,1.85,,,,
February,,,,,6.8,1.42,,,,
March,,,,,2.74,7.46,,,,
April,,,,,3.32,5.96,,,,
May,,,,,3.55,0.37,,,,
June,,,,,1.63,5.86,,,,
July,,,,,4.14,1.07,,,,
August,,,,,3.52,5.45,,,,
September,,,,,3,3.64,,,,
October,,,,,2.09,3.48,,,,
November,,,,,3.14,5.59,,,,
December,,,,,4.58,1.87,,,,
Total,,,,,47.12,44.02,,,,
,,,,,,,,,,
NGR is taken as the more modern location but the NGR could be +/- 1km. Gauges have different altitudes and may be spread along the valley that contains Blaen-y-Cwm,,,,,,,,,,
