BLACK-MOUNTAINS-BLAEN-Y-CWM-NO-7,,,,,,,,,,
Grid ref,SO246295,Long,-3.0987031,Lat,51.958851,Elevation,1375,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,7.84,8.87,1.6,,,,
February,,,,4.99,7.12,1.55,,,,
March,,,,9.48,2.96,7.59,,,,
April,,,,2.56,3.32,5.86,,,,
May,,,,5.96,3.09,0.33,,,,
June,,,,2.98,1.62,5.77,,,,
July,,,,2.4,4.12,1.11,,,,
August,,,,7.44,3.24,5.11,,,,
September,,,,6.39,2.94,3.53,,,,
October,,,,14.07,2.14,3.24,,,,
November,,,,2.76,3.03,5.86,,,,
December,,,,5.92,4.36,1.93,,,,
Total,,,,72.79,46.81,43.48,,,,
,,,,,,,,,,
NGR is taken as the more modern location but the NGR could be +/- 1km. Gauges have different altitudes and may be spread along the valley that contains Blaen-y-Cwm,,,,,,,,,,
