BLACK-MOUNTAINS-BLAEN-Y-CWM-NO-6,,,,,,,,,,
Grid ref,SO246295,Long,-3.0987031,Lat,51.958851,Elevation,1553,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,7.07,7.87,1.53,,,,
February,,,,4.21,6.64,1.06,,,,
March,,,,8.64,2.96,6.71,,,,
April,,,,2.48,2.84,5.73,,,,
May,,,,6.08,3.44,0.35,,,,
June,,,,3.17,1.56,5.56,,,,
July,,,,2.75,3.91,0.91,,,,
August,,,,7.34,3.23,5.24,,,,
September,,,,5.99,2.94,3.47,,,,
October,,,,13.14,1.83,3.12,,,,
November,,,,2.6,2.65,5.47,,,,
December,,,,5.62,4.09,1.57,,,,
Total,,,,69.09,43.96,40.72,,,,
,,,,,,,,,,
NGR is taken as the more modern location but the NGR could be +/- 1km. Gauges have different altitudes and may be spread along the valley that contains Blaen-y-Cwm,,,,,,,,,,
