AITH (EAST BURRAFIRTH),,,,,,,,,,
Grid ref,HU354580,Long,-1.361267,Lat,60.304591,Elevation,30,ft,,
Station no,5831/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.44,3.53,2.36
February,,,,,,,,1.8,1.4,4.48
March,,,,,,,,1.26,1.41,1.23
April,,,,,,,,1.75,3.13,2.92
May,,,,,,,,3.39,1.52,1.46
June,,,,,,,,0.51,2.88,2.1
July,,,,,,,,3.73,2.16,1.3
August,,,,,,,,3.58,2.61,1.27
September,,,,,,,,3.78,1.36,2.65
October,,,,,,,,4.29,4.22,2.75
November,,,,,,,,2.67,6.63,8.48
December,,,,,,,,5.49,6.73,4.56
Total,,,,,,,,36.69,37.58,35.56
,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 NP Insp Report,,,,,,,,,,
1960 NP Insp Report,,,,,,,,,,
most sites in Shetland ,,,,,,,,,,
have this annotation,,,,,,,,,,
for 1960,,,,,,,,,,
,,,,,,,,,,
Station no,5831/2,,,,,,,,,
Midas,14386,,,,,,,,,
Hyd Stn,,,,,,,,,,
