BRANSDALE NO. 2,,,,,,,,,,
Grid ref,SE617992,Long,-1.051,Lat,54.385,Elevation,1260,ft,,
Station no,3465/6/6,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.74,3.53,5.48,5.55,3.26,5.77,
February,,,,4.16,3.41,5.60,4.76,2.46,3.80,
March,,,,3.03,1.80,2.22,6.49,0.33,4.16,
April,,,,4.25,4.60,1.91,3.72,0.32,1.57,
May,,,,1.45,1.74,1.48,2.59,3.98,2.90,
June,,,,2.00,3.28,4.09,2.65,2.93,3.96,
July,,,,3.60,0.46,5.51,2.14,3.50,3.89,
August,,,,4.14,3.44,3.71,2.26,4.19,2.98,
September,,,,2.29,6.04,4.67,2.05,3.25,3.92,
October,,,,3.84,4.99,2.37,3.09,6.14,7.54,
November,,,,3.40,6.14,4.45,3.45,3.97,3.82,
December,,,,6.25,3.69,3.15,8.15,6.85,2.36,
Total,,,,41.15,43.12,44.64,46.90,41.18,46.67,
,,,,,,,,,,
TYRain_1931-1940_20_pt1/030,,,,,,,,,,
,,,,,,,,,,
"# No detailed location information. Grid reference selected to match elevation, but just an indicative value.",,,,,,,,,,
