QUEENSTOWN - Air Ministry,,,,,,,,,,
Grid ref,IW8516965724,Long,-8.2159281,Lat,51.843898,Elevation,20,ft,,
Station no,RR1096,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,3.86
February,,,,,,,,,,3.34
March,,,,,,,,,,2.23
April,,,,,,,,,,0.86
May,,,,,,,,,,2.45
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
NGR: Given the date it is assumed that the location is the Naval air Station close to Aghada east of Queenstown.,,,,,,,,,,
"It was the first US Naval Air Station in Ireland, one of several sest up following America's entry to WW1",,,,,,,,,,
It officially closed April 1919,,,,,,,,,,
