BATH-COMBE-DOWN-(WESTBURY-AVENUE),,,,,,,,,,
Grid ref,ST758622,Long,-2.34893,Lat,51.3586,Elevation,500,ft,,
Station no,RR7935,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.44,5.79,0.82,4.69,2.41,1.24,3.68,
February,,,2.65,1.57,3.82,6.55,4.88,1.14,1.78,
March,,,6.55,4.13,4.65,1.21,4.38,3.87,1.09,
April,,,0.27,3.87,2.02,1.32,1.45,1.99,2.88,
May,,,2.2,2.54,1.96,3.33,2.97,2.71,1.8,
June,,,3.76,0.87,1.9,1.78,2.57,5.09,1.02,
July,,,3.95,0.7,3.17,4.3,1.61,3.29,5.18,
August,,,7.29,1.94,2.17,2.69,4.39,7.35,2.43,
September,,,0.95,3.05,1.76,2.1,1.54,2.43,7.07,
October,,,5.26,3.84,3.38,4.83,7.48,5.82,1.87,
November,,,2.05,2.76,4.85,2.84,4.1,0.88,2.65,
December,,8.93,5.98,2.72,7.57,7.03,4.59,0.68,3.88,
Total,,,44.35,33.78,38.07,42.67,42.37,36.49,35.33,
,,,,,,,,,,
4 Westbury Avenue not found but between PO and Jupiter PH makes this group of houses likely Matches distance of move,,,,,,,,,,
1911 Nov Gauge moved 400yds W of 1909 position and fixed on iron tripod to avoid shelter by trees,,,,,,,,,,
