RHAYADER PEN-Y-GAREG 1,,,,,,,,,,,,
Grid ref,SN912674,Long,-3.596017,Lat,52.29438,Elevation,914,ft.,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,,,,2.64,,,
February,,,,,,,,,4.58,,,
March,,,,,,,,,2.44,,,
April,,,,,,,,,3.81,,,
May,,,,,,,,,4.62,,,
June,,,,,,,,,2.86,,,
July,,,,,,,,,0.91,,,
August,,,,,,,,,4.8,,,
September,,,,,,,,,1.51,,,
October,,,,,,,,,7.77,,,
November,,,,,,,,,4.07,,,
December,,,,,,,,,5.1,,,
Total,,,,,,,,,45.11,,,
,,,,,,,,,,,,
NOTES,,,,,,,,,,,,
"NGR assumes the gauge is located near the dam, which is the only area that matches the quoted altitude. Subsequent gauges are much higher in the hills.",,,,,,,,,,,,
