"BIRMINGHAM WW (PEN-Y-GAREG) 1",,,,,,,,,,,,
Grid ref,SN925681,Long,-3.577904,Lat,52.300468,,,,,,,
Station no,4237,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.40,3.80,,
February,,,,,,,,,2.85,0.75,,
March,,,,,,,,,4.50,5.13,,
April,,,,,,,,,3.05,5.00,,
May,,,,,,,,,3.65,2.65,,
June,,,,,,,,,2.05,2.85,,
July,,,,,,,,,3.00,5.00,,
August,,,,,,,,,5.95,2.67,,
September,,,,,,,,,4.25,4.20,,
October,,,,,,,,,3.15,6.60,,
November,,,,,,,,,4.50,2.00,,
December,,,,,,,,,4.90,8.23,,
Total,,,,,,,,,45.25,48.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.25,48.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
