RHAYADER PEN-Y-GAREG 2,,,,,,,,,,
Grid ref,SN912674,Long,-3.596017,Lat,52.29438,Elevation,908,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,2.37,
April,,,,,,,,,3.77,
May,,,,,,,,,4.59,
June,,,,,,,,,2.88,
July,,,,,,,,,0.93,
August,,,,,,,,,4.85,
September,,,,,,,,,1.5,
October,,,,,,,,,7.8,
November,,,,,,,,,4.12,
December,,,,,,,,,5,
Total,,,,,,,,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR assumes the gauge is located near the dam, which is the only area that matches the quoted altitude. Subsequent gauges are much higher in the hills.",,,,,,,,,,
