"KESWICK (MIREHOUSE)",,,,,,,,,,,,
Grid ref,NY232282,Long,-3.191559,Lat,54.643041,,,,,,,
Station no,3644,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.12,4.45,2.36,4.15,3.93,3.66,6.67,6.36,2.39,6.22,,
February,5.16,1.20,1.66,4.12,1.51,1.01,5.40,6.27,1.52,6.06,,
March,6.10,2.10,0.73,3.59,1.61,2.44,3.46,1.01,3.36,1.46,,
April,4.04,2.85,4.57,1.32,19.20,1.16,1.11,1.86,4.83,3.79,,
May,2.44,3.36,4.17,4.88,4.28,2.77,2.54,3.93,1.22,2.13,,
June,1.66,3.08,1.45,4.80,3.30,2.25,1.60,3.62,4.11,1.86,,
July,3.40,3.54,5.50,5.88,2.58,6.12,3.79,3.02,4.73,7.08,,
August,5.42,7.92,4.89,6.46,3.55,8.82,6.13,5.12,0.85,3.67,,
September,6.55,5.43,8.10,9.36,3.62,3.63,5.82,5.43,1.65,4.75,,
October,1.85,4.81,2.89,11.94,2.76,2.06,5.84,5.46,7.15,3.90,,
November,11.51,2.82,9.10,11.60,3.22,2.21,2.10,1.16,8.41,12.08,,
December,11.21,5.58,3.91,7.60,6.01,7.60,5.47,5.67,9.81,6.43,,
Total,63.46,47.14,49.33,75.70,38.29,43.73,49.93,48.91,50.03,59.43,,
Calc annual,63.46,47.14,49.33,75.70,55.57,43.73,49.93,48.91,50.03,59.43,,
Difference,0.00,0.00,0.00,0.00,-17.28,-0.00,0.00,-0.00,0.00,0.00,,
