KINGSTON-ST-MARY-TARR-COTTAGE-(TARR-COTTAGE),,,,,,,,,,,
Grid ref,ST214299,Long,-3.12232,Lat,51.06348,Elevation,275,ft,,,
Station no,2076/8/9,,,,,,,,,,
,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951
January,,,,,,,,5.96,0.85,0.75,3.35
February,,,,,,,,1.24,1.17,5.31,3.88
March,,,,,,,,1.3,1.66,0.96,3.62
April,,,,,,,,1.9,1.59,2.69,4.15
May,,,,,,,,3.91,1.88,2.25,3.04
June,,,,,,,,1.79,0.47,1.48,0.81
July,,,,,,,,1.78,2.04,4.12,1.87
August,,,,,,,,4.2,1.62,5.42,4.79
September,,,,,,,1.26,1.53,3.41,4.09,2.4
October,,,,,,,0.65,3.84,6,1.49,
November,,,,,,,2.86,2.11,4.5,6.72,
December,,,,,,,2.16,4.12,1.59,2.32,
Total,,,,,,,,33.68,26.78,37.6,
,,,,,,,,,,,
Tarr Cottage,,,,,,,,,,,
1947 Formerly at Stn No 65/7,,,,,,,,,,,
1951 Oct 1 Gauge moved 0.25 miles ESE to St Marys Cottage,,,,,,,,,,,
